timestamp,coin,direction,entry_price,future_high,future_low,raw_message
2025-04-08 20:30:38+00:00,XRP,Bearish,1.8201,1.8436,1.7218,"#XRP Bearish

TA: Descending Triangle => breaking down => Retest => Continue"
2025-04-05 18:09:01+00:00,FUN,Bullish,0.008623,0.008861,0.007742,"#FUN Bullish continuation 

IP at 0.0056."
2025-04-05 10:55:11+00:00,MLN,Bullish,10.74,12.2,10.6,#MLN Bullish
2025-04-05 09:42:41+00:00,BROCCOLI714,Bullish,0.03514,0.037,0.03146,#BROCCOLI714 Bullish
2025-04-05 03:41:02+00:00,FUN,Bullish,0.005815,0.010217,0.005724,#FUN bullish
2025-04-02 14:23:14+00:00,BTC,Bullish,85697.37,88500.0,85445.6,"#BTC Bullish

- TA: End of the consolidation of the triangle and a big move will start soon.

-FA: Negative funding matrix has been accumulating for 1 month.

- CC: Trump tariffs at 2nd is ""Priced in"" | GOLD up 50% should work as a resistance and it is getting cool off soon. Macro is bad but It's about reversal. 

- IP at 79k"
2025-04-02 06:00:49+00:00,XRP,Bearish,2.0732,2.1366,2.0672,"#XRP bearish

TA: A descending triangle is likely to break down after many touches at horizontal support"
2025-04-02 05:32:01+00:00,HBAR,Bearish,0.16385,0.1697,0.16243,"#HBAR Bearish

- TA: breakdown the descending triangle => Retesting => continue"
2025-04-02 04:02:24+00:00,MLN,Bullish,12.1,12.18,10.95,#MLN Bullish.
2025-04-01 19:21:18+00:00,BTC,Bullish,84970.14,85579.46,84773.58,"#BTC Bullish

- TA: End of the consolidation of the triangle and a big move will start soon.

-FA: Negative funding matrix has been accumulating for 1 month.

- CC: Trump tariffs at 2nd is ""Priced in"" | GOLD up 50% should work as a resistance and it is getting cool off soon. Macro is bad but It's about reversal. 

- IP at 79k"
2025-03-31 21:18:06+00:00,VIDT,Bullish,0.02526,0.02544,0.02367,"#VIDT Bullish continuation 

TA: U Shape chart
FA: No fundamental, just like REEF TRB formation."
2025-03-31 19:44:44+00:00,REZ,Bullish,0.0175,0.01835,0.01629,"#REZ bullish

2025-03-31 15:56:46+00:00,MLN,Bullish,#MLN BULLISH"
